stateName,avgTeacherStartingSalary,avgSATScore,avgACTScore,NAEPScoreReading,NAEPScoreMath,highschoolGradRate,percentCompletingCollege,eduSpendingPerPupil
Alabama ,41028,1143,18.9,263 ,273 ,92,25.5,10116.28614
Alaska ,48469,1097,20.1,270 ,301 ,80,29.6,18313.42176
Arizona ,39057,1134,19.0,272 ,'NULL',78,29.5,8766.402019
Arkansas ,35201,1141,19.3,261 ,278 ,88,23,10344.90046
California ,49303,1065,22.6,262 ,288 ,85,33.9,14053.17631
Colorado ,35292,1024,23.8,272 ,297 ,81,40.9,11539.5305
Connecticut ,46905,1046,25.5,267 ,293 ,89,39.3,21345.6021
Delaware ,43092,985,24.0,'NULL','NULL',89,32,14756.56734
Florida ,38724,999,20.1,260 ,'NULL',87,29.9,9936.722694
Georgia ,38509,1058,21.4,'NULL','NULL',82,31.3,'NULL'
Hawaii ,48428,1100,19.0,259 ,287 ,85,33,'NULL'
Idaho ,38015,993,22.5,267 ,294 ,81,27.6,8271.566953
Illinois ,40484,1013,24.3,278 ,300 ,86,34.7,17340.02105
Indiana ,37573,1080,22.5,269 ,298 ,87,26.5,'NULL'
Iowa ,37908,1244,21.6,248 ,263 ,92,28.6,11958.12875
Kansas ,38314,1241,21.2,288 ,307 ,87,33.4,12696.75921
Kentucky ,37238,1232,19.8,254 ,282 ,91,24.2,11396.83529
Louisiana ,41747,1200,18.8,262 ,'NULL',80,24.1,'NULL'
Maine ,36380,1013,24.3,261 ,296 ,87,31.8,'NULL'
Maryland ,47959,1058,22.3,271 ,'NULL',87,40.2,14643.81636
Massachusetts ,47396,1120,25.5,273 ,298 ,88,43.7,18268.60485
Michigan ,37549,1003,24.4,254 ,287 ,81,29.1,13071.80858
Minnesota ,40310,1284,21.4,261 ,289 ,84,36.1,13603.18324
Mississippi ,36543,1237,18.4,272 ,280 ,85,22,9653.974656
Missouri ,32970,1236,20.8,269 ,'NULL',90,29.2,11249.37626
Montana ,32871,1199,19.8,270 ,298 ,87,32,12105.35386
Nebraska ,35820,1260,20.0,266 ,289 ,88,31.9,13004.147
Nevada ,40732,1156,17.9,264 ,294 ,84,24.7,'NULL'
New Hampshire ,38990,1059,25.0,'NULL','NULL',88,37,18952.14615
New Jersey ,53177,1090,24.2,261 ,'NULL',91,39.7,20629.6443
New Mexico ,41214,1073,19.3,273 ,'NULL',75,27.3,'NULL'
New York ,47181,1064,24.5,268 ,'NULL',83,36.6,25520.36024
North Carolina ,37049,1100,19.0,271 ,'NULL',87,31.3,9957.985473
North Dakota ,40106,1263,19.9,267 ,291 ,88,30,'NULL'
Ohio ,37569,1097,20.0,261 ,'NULL',82,28.3,13804.54123
Oklahoma ,37992,963,18.9,276 ,302 ,85,25.5,9512.041651
Oregon ,38280,1112,21.1,263 ,291 ,80,33.7,'NULL'
Pennsylvania ,46232,1082,23.6,260 ,306 ,87,31.4,17141.64616
Rhode Island ,43569,995,24.7,'NULL',259 ,84,34.2,17024.14253
South Carolina ,37550,1030,18.8,280 ,305 ,81,28.1,'NULL'
South Dakota ,39636,1268,21.6,266 ,289 ,84,28.8,10233.78315
Tennessee ,38809,1220,19.4,265 ,296 ,91,27.3,'NULL'
Texas ,44582,1022,20.5,285 ,'NULL',90,29.9,'NULL'
Utah ,43026,1230,20.3,'NULL','NULL',87,34,'NULL'
Vermont ,40241,1106,24.1,277 ,297 ,85,38,21313.99081
Virginia ,42069,1119,24.0,270 ,297 ,88,38.8,12904.51852
Washington ,49113,1074,22.1,236 ,'NULL',81,36,14555.71182
West Virginia ,37978,943,20.8,260 ,291 ,91,20.6,'NULL'
Wisconsin ,38678,1283,20.3,'NULL',285 ,90,30.1,'NULL'
Wyoming ,46558,1238,19.8,282 ,303 ,82,27.4,16698.20871
